                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     70,                0.46503,                0.10143,                0.40691,                0.94773,                0.78336,                0.79152,                 0.8383,                0.62858,                 0.8345,                0.71815,                0.82604,                0.61782,                0.91035,               0.074988,                0.98929,                 1.5323,               0.003169,               0.003169,               0.003169
                     71,                0.46159,                0.10575,                0.41062,                0.97385,                0.85787,                0.73389,                0.84273,                0.63663,                0.85787,                0.73389,                0.84273,                0.61346,                0.89021,               0.073738,                0.95825,                 1.5327,                0.00307,                0.00307,                0.00307
                     72,                0.43172,               0.099846,                 0.3672,                0.94468,                0.86231,                0.70944,                0.84398,                0.63548,                0.86231,                0.70944,                0.84398,                0.61182,                0.90479,               0.072305,                0.95521,                 1.5327,               0.002971,               0.002971,               0.002971
                     73,                0.45428,               0.092563,                0.38404,                0.95958,                0.84446,                0.79173,                0.85312,                 0.6547,                0.84446,                0.79173,                0.85312,                0.64069,                0.87845,               0.072978,                  1.014,                 1.4865,               0.002872,               0.002872,               0.002872
                     74,                0.42735,                0.10348,                0.36647,                0.97583,                0.86402,                0.64454,                0.80227,                0.60941,                0.86402,                0.64454,                0.80227,                0.60147,                0.87651,               0.072903,                 1.0029,                 1.5128,               0.002773,               0.002773,               0.002773
                     75,                0.42938,               0.093958,                0.38433,                0.94808,                0.86447,                0.75691,                0.85281,                0.64154,                0.86447,                0.75691,                0.85281,                0.63102,                0.85517,               0.072906,                0.87164,                 1.5604,               0.002674,               0.002674,               0.002674
                     76,                0.43679,                0.10734,                0.35622,                0.94799,                0.78702,                 0.8095,                0.84734,                0.64822,                0.78702,                 0.8095,                0.84734,                0.63178,                0.87791,               0.075576,                0.89156,                 1.5605,               0.002575,               0.002575,               0.002575
                     77,                0.42279,                0.11794,                0.36527,                0.94779,                0.76314,                0.76724,                0.85405,                 0.6641,                0.76314,                0.76724,                0.85416,                0.64813,                0.86384,               0.075242,                0.86588,                 1.5411,               0.002476,               0.002476,               0.002476
                     78,                0.41611,                0.10181,                0.36125,                0.92533,                0.80457,                0.83953,                 0.8524,                 0.6542,                0.80457,                0.83953,                 0.8524,                0.63363,                0.82633,               0.072736,                0.81718,                 1.4732,               0.002377,               0.002377,               0.002377
                     79,                0.39918,               0.095798,                0.33547,                0.92874,                 0.7415,                0.85732,                0.80903,                0.65496,                 0.7415,                0.85732,                0.80903,                0.63532,                0.76725,               0.067633,                0.82749,                 1.4291,               0.002278,               0.002278,               0.002278
                     80,                0.38928,                 0.1001,                0.34678,                 0.9259,                0.81141,                0.85803,                0.84616,                0.67293,                0.81141,                0.85803,                0.84616,                0.66436,                0.77169,                0.06584,                  0.797,                 1.4531,               0.002179,               0.002179,               0.002179
                     81,                0.39139,                0.10701,                0.32371,                0.91504,                0.81783,                0.81938,                0.85766,                0.68224,                0.81783,                0.81938,                0.85766,                0.66433,                0.77905,               0.067899,                0.79587,                 1.4051,                0.00208,                0.00208,                0.00208
                     82,                0.38397,               0.093736,                0.31976,                0.93138,                0.79122,                0.80461,                 0.8348,                0.66967,                0.79122,                0.80461,                 0.8348,                0.65375,                0.77894,               0.068841,                0.81406,                 1.4318,               0.001981,               0.001981,               0.001981
                     83,                0.36383,               0.083038,                0.29953,                0.91095,                0.77672,                0.79126,                0.82504,                0.65173,                0.77672,                0.79126,                0.82361,                 0.6429,                 0.8099,               0.067151,                0.88005,                 1.4781,               0.001882,               0.001882,               0.001882
                     84,                0.36816,                0.11348,                0.30114,                0.90624,                0.83951,                0.72285,                0.83414,                0.66597,                0.83951,                0.72285,                0.83414,                0.63112,                0.78992,               0.069682,                0.92393,                 1.4115,               0.001783,               0.001783,               0.001783
                     85,                0.38018,               0.092628,                0.32727,                0.91431,                 0.8105,                 0.7839,                0.84799,                0.65768,                 0.8105,                 0.7839,                0.84799,                0.64732,                0.86512,               0.071235,                0.87882,                 1.4901,               0.001684,               0.001684,               0.001684
                     86,                0.36194,               0.087905,                0.27764,                0.91777,                 0.8383,                0.78824,                0.85238,                0.66033,                0.83066,                0.78194,                0.84169,                0.64469,                0.87022,               0.072496,                0.83585,                 1.5134,               0.001585,               0.001585,               0.001585
                     87,                0.34247,               0.083044,                0.29231,                0.88406,                0.84621,                0.82258,                0.88142,                0.67739,                0.84621,                0.82258,                0.88142,                0.67146,                 0.8249,                0.07434,                0.83749,                 1.5042,               0.001486,               0.001486,               0.001486
                     88,                0.35132,               0.095736,                0.27577,                0.89128,                0.87165,                 0.7957,                0.88504,                0.68089,                0.87165,                 0.7957,                0.88504,                0.66243,                0.78622,               0.073679,                0.85141,                 1.4639,               0.001387,               0.001387,               0.001387
                     89,                0.35421,               0.096297,                0.31617,                0.87798,                0.85527,                0.78262,                0.85171,                0.68159,                0.85527,                0.78262,                0.85171,                0.65805,                0.77638,               0.072126,                0.80989,                 1.4379,               0.001288,               0.001288,               0.001288
                     90,                0.32384,               0.095503,                 0.2861,                 0.8734,                0.87914,                0.80282,                 0.8558,                0.68097,                0.88801,                 0.8104,                0.86101,                0.65552,                0.77744,               0.071521,                0.81644,                 1.4398,               0.001189,               0.001189,               0.001189
                     91,                0.34966,               0.092536,                0.29565,                0.88742,                0.87438,                0.83291,                0.87443,                0.67983,                0.87438,                0.83291,                0.87443,                0.66551,                 0.8035,               0.071248,                0.80783,                 1.4442,                0.00109,                0.00109,                0.00109
                     92,                  0.318,               0.093437,                 0.2708,                0.87953,                0.83975,                0.81797,                0.87474,                0.69058,                0.83975,                0.81797,                0.87474,                0.66932,                0.77565,               0.070436,                0.81505,                 1.3728,               0.000991,               0.000991,               0.000991
                     93,                 0.3458,               0.084135,                0.27133,                0.88733,                0.82025,                0.85732,                0.87273,                0.69914,                0.82025,                0.85732,                0.87273,                0.68343,                0.76228,                 0.0678,                0.79466,                 1.3782,               0.000892,               0.000892,               0.000892
                     94,                0.32212,               0.089615,                0.25444,                0.87357,                0.81998,                0.89054,                0.87502,                0.70154,                0.81998,                0.89054,                0.87502,                0.68017,                0.71533,               0.067353,                0.79425,                 1.3329,               0.000793,               0.000793,               0.000793
                     95,                0.31804,               0.084851,                0.27502,                0.87474,                0.90887,                0.78055,                0.88161,                0.70552,                0.90887,                0.78055,                0.88161,                0.68744,                0.71523,               0.067806,                0.79037,                 1.3413,               0.000694,               0.000694,               0.000694
                     96,                0.30491,               0.089071,                0.25408,                0.86967,                0.88029,                0.79581,                 0.8766,                0.71573,                0.88029,                0.79581,                 0.8766,                0.69202,                 0.6824,               0.068555,                 0.7954,                 1.2871,               0.000595,               0.000595,               0.000595
                     97,                0.30314,               0.090966,                0.24098,                0.87447,                0.84326,                 0.8356,                0.88129,                0.70715,                0.84326,                 0.8356,                0.88129,                0.68337,                0.69175,               0.068035,                0.79347,                 1.3134,               0.000496,               0.000496,               0.000496
                     98,                0.28399,                0.08586,                0.23931,                 0.8517,                0.87809,                0.80079,                0.87917,                0.70528,                0.87809,                0.80079,                0.87917,                0.67197,                0.71581,                0.06887,                0.79571,                 1.3485,               0.000397,               0.000397,               0.000397
                     99,                 0.2914,                0.07728,                0.23525,                0.85755,                0.85611,                0.81988,                0.86708,                0.69663,                0.85611,                0.81988,                0.86708,                0.66847,                0.75813,               0.067985,                0.77078,                 1.4142,               0.000298,               0.000298,               0.000298
                    100,                0.88026,                0.79588,                0.87665,                0.71631,                0.88026,                0.79588,                0.87665,                0.69181,                0.68234,               0.068562,                  0.795,                 1.2869
